county,year,unemployment_rate,state,fips
Gallatin County,1990.0,4.8,MT,30031
Cleveland County,1990.0,4.3,OK,40027
Coal County,1990.0,12.3,OK,40029
Comanche County,1990.0,6.9,OK,40031
Cotton County,1990.0,11.3,OK,40033
Craig County,1990.0,4.9,OK,40035
Creek County,1990.0,5.7,OK,40037
Custer County,1990.0,6.1,OK,40039
Delaware County,1990.0,6.5,OK,40041
Dewey County,1990.0,4.2,OK,40043
Ellis County,1990.0,3.5,OK,40045
Garfield County,1990.0,4.5,OK,40047
Garvin County,1990.0,7.2,OK,40049
Grady County,1990.0,6.7,OK,40051
Grant County,1990.0,3.0,OK,40053
Greer County,1990.0,3.8,OK,40055
Harmon County,1990.0,4.8,OK,40057
Harper County,1990.0,3.3,OK,40059
Haskell County,1990.0,13.2,OK,40061
Hughes County,1990.0,10.5,OK,40063
Jackson County,1990.0,8.2,OK,40065
Jefferson County,1990.0,8.0,OK,40067
Cimarron County,1990.0,2.4,OK,40025
Johnston County,1990.0,6.9,OK,40069
Choctaw County,1990.0,10.4,OK,40023
Carter County,1990.0,6.2,OK,40019
Summit County,1990.0,5.1,OH,39153
Trumbull County,1990.0,7.6,OH,39155
Tuscarawas County,1990.0,6.5,OH,39157
Union County,1990.0,4.0,OH,39159
Van Wert County,1990.0,6.5,OH,39161
Vinton County,1990.0,9.8,OH,39163
Warren County,1990.0,4.5,OH,39165
Washington County,1990.0,6.3,OH,39167
Wayne County,1990.0,4.9,OH,39169
Williams County,1990.0,5.8,OH,39171
Wood County,1990.0,5.9,OH,39173
Wyandot County,1990.0,6.8,OH,39175
Adair County,1990.0,6.3,OK,40001
Alfalfa County,1990.0,3.2,OK,40003
Atoka County,1990.0,8.3,OK,40005
Beaver County,1990.0,2.6,OK,40007
Beckham County,1990.0,5.7,OK,40009
Blaine County,1990.0,5.2,OK,40011
Bryan County,1990.0,5.9,OK,40013
Caddo County,1990.0,7.9,OK,40015
Canadian County,1990.0,4.4,OK,40017
Cherokee County,1990.0,7.9,OK,40021
Stark County,1990.0,6.3,OH,39151
Kay County,1990.0,5.4,OK,40071
Kiowa County,1990.0,4.5,OK,40075
Pushmataha County,1990.0,9.2,OK,40127
Roger Mills County,1990.0,4.5,OK,40129
Rogers County,1990.0,5.8,OK,40131
Seminole County,1990.0,9.1,OK,40133
