fips,state,year,pop,clf,pc_clf,emp,pc_emp,unem,unem_rate
1,Alabama,1976,2632667,1499637,57.0,1398848,53.1,100789,6.7
2,Alaska,1976,239917,164014,68.4,151501,63.1,12513,7.6
4,Arizona,1976,1650917,981368,59.4,885146,53.6,96222,9.8
5,Arkansas,1976,1546583,893588,57.8,831795,53.8,61793,6.9
6,California,1976,15823750,9894236,62.5,8985601,56.8,908635,9.2
8,Colorado,1976,1858250,1240720,66.8,1166629,62.8,74091,6.0
9,Connecticut,1976,2260083,1452948,64.3,1319169,58.4,133779,9.2
10,Delaware,1976,420667,263254,62.6,240758,57.2,22496,8.5
11,District of Columbia,1976,517250,332191,64.2,303412,58.7,28779,8.7
12,Florida,1976,6509000,3599977,55.3,3264198,50.1,335779,9.3
13,Georgia,1976,3557750,2269768,63.8,2084229,58.6,185539,8.2
15,Hawaii,1976,591833,409430,69.2,371732,62.8,37698,9.2
16,Idaho,1976,589333,372098,63.1,351095,59.6,21003,5.6
17,Illinois,1976,8177500,5146173,62.9,4809580,58.8,336593,6.5
18,Indiana,1976,3812500,2438803,64.0,2290297,60.1,148506,6.1
19,Iowa,1976,2081583,1338397,64.3,1283262,61.6,55135,4.1
20,Kansas,1976,1647583,1076433,65.3,1031811,62.6,44622,4.1
21,Kentucky,1976,2486500,1492853,60.0,1411467,56.8,81386,5.5
22,Louisiana,1976,2707250,1531021,56.6,1429726,52.8,101295,6.6
23,Maine,1976,772833,476205,61.6,434901,56.3,41304,8.7
24,Maryland,1976,2977417,1912980,64.2,1787458,60.0,125522,6.6
25,Massachusetts,1976,4212167,2727872,64.8,2461279,58.4,266593,9.8
26,Michigan,1976,6453167,3983724,61.7,3608668,55.9,375056,9.4
27,Minnesota,1976,2812250,1849935,65.8,1741994,61.9,107941,5.8
28,Mississippi,1976,1657167,970283,58.6,906817,54.7,63466,6.5
29,Missouri,1976,3486917,2122215,60.9,1990786,57.1,131429,6.2
30,Montana,1976,536667,334867,62.4,315140,58.7,19727,5.9
31,Nebraska,1976,1101167,716700,65.1,693836,63.0,22864,3.2
32,Nevada,1976,463417,327947,70.8,298870,64.5,29077,8.9
33,New Hampshire,1976,602000,398463,66.2,372873,61.9,25590,6.4
34,New Jersey,1976,5382750,3318992,61.7,2974012,55.3,344980,10.4
35,New Mexico,1976,808000,488114,60.4,445718,55.2,42396,8.7
36,New York,1976,13221750,7675128,58.0,6889938,52.1,785190,10.2
37,North Carolina,1976,3937333,2606423,66.2,2443938,62.1,162485,6.2
38,North Dakota,1976,446250,280192,62.8,269663,60.4,10529,3.8
39,Ohio,1976,7731000,4753379,61.5,4384260,56.7,369119,7.8
40,Oklahoma,1976,2020583,1191850,59.0,1124921,55.7,66929,5.6
41,Oregon,1976,1739583,1095663,63.0,993544,57.1,102119,9.3
42,Pennsylvania,1976,8807167,5137714,58.3,4726485,53.7,411229,8.0
44,Rhode Island,1976,695750,441339,63.4,405977,58.4,35362,8.0
45,South Carolina,1976,2007417,1299241,64.7,1207662,60.2,91579,7.0
46,South Dakota,1976,480583,310416,64.6,300051,62.4,10365,3.3
47,Tennessee,1976,3112917,1858503,59.7,1744984,56.1,113519,6.1
48,Texas,1976,8957667,5702276,63.7,5370958,60.0,331318,5.8
49,Utah,1976,836417,524870,62.8,495389,59.2,29481,5.6
50,Vermont,1976,342917,217719,63.5,199700,58.2,18019,8.3
51,Virginia,1976,3578083,2341052,65.4,2202791,61.6,138261,5.9
53,Washington,1976,2633667,1616274,61.4,1474237,56.0,142037,8.8
54,West Virginia,1976,1366917,707874,51.8,656870,48.1,51004,7.2
55,Wisconsin,1976,3266333,2144634,65.7,2025880,62.0,118754,5.5
56,Wyoming,1976,275500,180343,65.5,173379,62.9,6964,3.9
1,Alabama,1977,2688917,1564045,58.2,1452319,54.0,111726,7.1
2,Alaska,1977,248083,173460,69.9,156401,63.0,17059,9.8
4,Arizona,1977,1726250,1043373,60.4,955867,55.4,87506,8.4
5,Arkansas,1977,1581917,924959,58.5,865033,54.7,59926,6.5
6,California,1977,16277917,10377705,63.8,9509331,58.4,868374,8.4
8,Colorado,1977,1923667,1294484,67.3,1212765,63.0,81719,6.3
9,Connecticut,1977,2286000,1484819,65.0,1381070,60.4,103749,7.0
10,Delaware,1977,428583,272136,63.5,249856,58.3,22280,8.2
11,District of Columbia,1977,512500,327833,64.0,299598,58.5,28235,8.6
12,Florida,1977,6720167,3725786,55.4,3417597,50.9,308189,8.3
13,Georgia,1977,3646333,2329388,63.9,2167738,59.4,161650,6.9
15,Hawaii,1977,608917,416725,68.4,384816,63.2,31909,7.7
16,Idaho,1977,611000,396993,65.0,373744,61.2,23249,5.9
17,Illinois,1977,8280750,5286829,63.8,4959918,59.9,326911,6.2
18,Indiana,1977,3868417,2485126,64.2,2341757,60.5,143369,5.8
19,Iowa,1977,2109250,1386049,65.7,1330521,63.1,55528,4.0
20,Kansas,1977,1673667,1109756,66.3,1066824,63.7,42932,3.9
21,Kentucky,1977,2538167,1538019,60.6,1463772,57.7,74247,4.8
22,Louisiana,1977,2775417,1601844,57.7,1490685,53.7,111159,6.9
23,Maine,1977,790083,480462,60.8,440259,55.7,40203,8.4
24,Maryland,1977,3030250,1970596,65.0,1850351,61.1,120245,6.1
25,Massachusetts,1977,4254167,2753969,64.7,2537669,59.7,216300,7.9
26,Michigan,1977,6543083,4107931,62.8,3769992,57.6,337939,8.2
27,Minnesota,1977,2861667,1920172,67.1,1818875,63.6,101297,5.3
28,Mississippi,1977,1690583,994117,58.8,922551,54.6,71566,7.2
29,Missouri,1977,3535000,2203928,62.3,2072105,58.6,131823,6.0
30,Montana,1977,550500,349017,63.4,327531,59.5,21486,6.2
31,Nebraska,1977,1114417,740155,66.4,715380,64.2,24775,3.3
32,Nevada,1977,492500,350565,71.2,326885,66.4,23680,6.8
33,New Hampshire,1977,625667,419025,67.0,395736,63.3,23289,5.6
34,New Jersey,1977,5436833,3384570,62.3,3069806,56.5,314764,9.3
35,New Mexico,1977,838583,511996,61.1,472280,56.3,39716,7.8
36,New York,1977,13244083,7732196,58.4,7023233,53.0,708963,9.2
37,North Carolina,1977,4027333,2684559,66.7,2526578,62.7,157981,5.9
38,North Dakota,1977,453417,288672,63.7,275868,60.8,12804,4.4
39,Ohio,1977,7812167,4831651,61.8,4518963,57.8,312688,6.5
40,Oklahoma,1977,2065583,1239233,60.0,1180130,57.1,59103,4.8
41,Oregon,1977,1800333,1152680,64.0,1066882,59.3,85798,7.4
42,Pennsylvania,1977,8879000,5213501,58.7,4810471,54.2,403030,7.7
44,Rhode Island,1977,706083,448980,63.6,412846,58.5,36134,8.0
45,South Carolina,1977,2061250,1327423,64.4,1237495,60.0,89928,6.8
46,South Dakota,1977,486583,317368,65.2,306651,63.0,10717,3.4
47,Tennessee,1977,3188167,1938641,60.8,1817186,57.0,121455,6.3
